hidden_channels,gin_layers,linear_layers,batch_norm,dropout,optimizer,learning_rate,weight_decay,regularization,test_accuracy
32,2,2,True,0.2,Adam,0.01,0.0005,,0.9341637010676157
64,2,2,True,0.2,Adam,0.01,0.0005,,0.9332740213523132
128,2,2,True,0.2,Adam,0.01,0.0005,,0.8282918149466192
256,2,2,True,0.2,Adam,0.01,0.0005,,0.9279359430604982
32,1,2,True,0.2,Adam,0.01,0.0005,,0.8861209964412812
32,2,2,True,0.2,Adam,0.01,0.0005,,0.9297153024911032
32,3,2,True,0.2,Adam,0.01,0.0005,,0.9483985765124555
32,4,2,True,0.2,Adam,0.01,0.0005,,0.9030249110320284
32,3,1,True,0.2,Adam,0.01,0.0005,,0.9341637010676157
32,3,2,True,0.2,Adam,0.01,0.0005,,0.9234875444839857
32,3,3,True,0.2,Adam,0.01,0.0005,,0.951067615658363
32,3,4,True,0.2,Adam,0.01,0.0005,,0.9350533807829181
32,3,3,True,0.2,Adam,0.01,0.0005,,0.9332740213523132
32,3,3,False,0.2,Adam,0.01,0.0005,,0.9412811387900356
32,3,3,False,0.0,Adam,0.01,0.0005,,0.44661921708185054
32,3,3,False,0.2,Adam,0.01,0.0005,,0.9154804270462633
32,3,3,False,0.3,Adam,0.01,0.0005,,0.9395017793594306
32,3,3,False,0.5,Adam,0.01,0.0005,,0.7411032028469751
32,3,3,False,0.3,Adam,0.01,0.0005,,0.9163701067615658
32,3,3,False,0.3,SGD,0.01,0.0005,,0.5302491103202847
32,3,3,False,0.3,adamw,0.01,0.0005,,0.9181494661921709
32,3,3,False,0.3,rmsprop,0.01,0.0005,,0.5097864768683275
32,3,3,False,0.3,adagrad,0.01,0.0005,,0.858540925266904
32,3,3,False,0.3,adadelta,0.01,0.0005,,0.3265124555160142
32,3,3,False,0.3,adamw,0.1,0.0005,,0.3238434163701068
32,3,3,False,0.3,adamw,0.01,0.0005,,0.9314946619217082
32,3,3,False,0.3,adamw,0.001,0.0005,,0.8861209964412812
32,3,3,False,0.3,adamw,0.01,0.0001,,0.9279359430604982
32,3,3,False,0.3,adamw,0.01,0.0002,,0.9252669039145908
32,3,3,False,0.3,adamw,0.01,0.0005,,0.9172597864768683
32,3,3,False,0.3,adamw,0.01,0.0001,,0.9110320284697508
32,3,3,False,0.3,adamw,0.01,0.0001,l1,0.9208185053380783
32,3,3,False,0.3,adamw,0.01,0.0001,l2,0.9048042704626335
